"","year","Element","total","continent"
"578","Y1986","Export Value",30200,"Oceania"
"579","Y1986","Import Quantity",27782,"Oceania"
"580","Y1986","Import Value",9423,"Oceania"
"581","Y1987","Export Quantity",101166,"Oceania"
"582","Y1987","Export Value",27726,"Oceania"
"583","Y1987","Import Quantity",65283,"Oceania"
"584","Y1987","Import Value",21703,"Oceania"
"585","Y1988","Export Quantity",101025,"Oceania"
"586","Y1988","Export Value",36936,"Oceania"
"587","Y1988","Import Quantity",78159,"Oceania"
"588","Y1988","Import Value",33917,"Oceania"
"589","Y1989","Export Quantity",125806,"Oceania"
"590","Y1989","Export Value",42899,"Oceania"
"591","Y1989","Import Quantity",122752,"Oceania"
"592","Y1989","Import Value",30574,"Oceania"
"593","Y1990","Export Quantity",100449,"Oceania"
"594","Y1990","Export Value",24730,"Oceania"
"595","Y1990","Import Quantity",91314,"Oceania"
"596","Y1990","Import Value",28152,"Oceania"
"597","Y1991","Export Quantity",166302,"Oceania"
"598","Y1991","Export Value",47324,"Oceania"
"599","Y1991","Import Quantity",97867,"Oceania"
"600","Y1991","Import Value",32922,"Oceania"
"601","Y1992","Export Quantity",166647,"Oceania"
"602","Y1992","Export Value",55234,"Oceania"
"603","Y1992","Import Quantity",101342,"Oceania"
"604","Y1992","Import Value",39959,"Oceania"
"605","Y1993","Export Quantity",213278,"Oceania"
"606","Y1993","Export Value",72352,"Oceania"
"607","Y1993","Import Quantity",103952,"Oceania"
"608","Y1993","Import Value",43265,"Oceania"
"609","Y1994","Export Quantity",184,"Oceania"
"610","Y1994","Export Value",158,"Oceania"
"611","Y1994","Import Quantity",10218,"Oceania"
"612","Y1994","Import Value",5879,"Oceania"
"613","Y1995","Export Quantity",222,"Oceania"
"614","Y1995","Export Value",204,"Oceania"
"615","Y1995","Import Quantity",13113,"Oceania"
"616","Y1995","Import Value",9375,"Oceania"
"617","Y1996","Export Quantity",47,"Oceania"
"618","Y1996","Export Value",96587,"Oceania"
"619","Y1996","Import Quantity",110416,"Oceania"
"620","Y1996","Import Value",60787,"Oceania"
"621","Y1997","Export Quantity",856,"Oceania"
"622","Y1997","Export Value",874,"Oceania"
"623","Y1997","Import Quantity",10729,"Oceania"
"624","Y1997","Import Value",64971,"Oceania"
"625","Y1998","Export Quantity",1028,"Oceania"
"626","Y1998","Export Value",885,"Oceania"
"627","Y1998","Import Quantity",10588,"Oceania"
"628","Y1998","Import Value",61475,"Oceania"
"629","Y1999","Export Quantity",141,"Oceania"
"630","Y1999","Export Value",136,"Oceania"
"631","Y1999","Import Quantity",121571,"Oceania"
"632","Y1999","Import Value",68879,"Oceania"
"633","Y2000","Export Quantity",70,"Oceania"
"634","Y2000","Export Value",157,"Oceania"
"635","Y2000","Import Quantity",125998,"Oceania"
"636","Y2000","Import Value",50794,"Oceania"
"637","Y2001","Export Quantity",188519,"Oceania"
"638","Y2001","Export Value",73233,"Oceania"
"639","Y2001","Import Quantity",137548,"Oceania"
"640","Y2001","Import Value",47931,"Oceania"
"641","Y2002","Export Quantity",1041,"Oceania"
"642","Y2002","Export Value",364,"Oceania"
"643","Y2002","Import Quantity",144906,"Oceania"
"644","Y2002","Import Value",57056,"Oceania"
"645","Y2003","Export Quantity",64,"Oceania"
"646","Y2003","Export Value",39,"Oceania"
"647","Y2003","Import Quantity",126966,"Oceania"
"648","Y2003","Import Value",55419,"Oceania"
"649","Y2004","Export Quantity",44,"Oceania"
"650","Y2004","Export Value",40,"Oceania"
"651","Y2004","Import Quantity",136784,"Oceania"
"652","Y2004","Import Value",66018,"Oceania"
"653","Y2005","Export Quantity",45,"Oceania"
"654","Y2005","Export Value",37,"Oceania"
"655","Y2005","Import Quantity",137538,"Oceania"
"656","Y2005","Import Value",63799,"Oceania"
"657","Y2006","Export Quantity",4698,"Oceania"
"658","Y2006","Export Value",2061,"Oceania"
"659","Y2006","Import Quantity",167437,"Oceania"
"660","Y2006","Import Value",73022,"Oceania"
"661","Y2007","Export Quantity",19841,"Oceania"
"662","Y2007","Export Value",14112,"Oceania"
"663","Y2007","Import Quantity",153644,"Oceania"
"664","Y2007","Import Value",107107,"Oceania"
"665","Y2008","Export Quantity",7439,"Oceania"
"666","Y2008","Export Value",5594,"Oceania"
"667","Y2008","Import Quantity",165567,"Oceania"
"668","Y2008","Import Value",163715,"Oceania"
"669","Y2009","Export Quantity",55,"Oceania"
"670","Y2009","Export Value",114,"Oceania"
"671","Y2009","Import Quantity",160842,"Oceania"
"672","Y2009","Import Value",135307,"Oceania"
"673","Y2010","Export Quantity",242,"Oceania"
"674","Y2010","Export Value",335,"Oceania"
"675","Y2010","Import Quantity",143592,"Oceania"
"676","Y2010","Import Value",116637,"Oceania"
"677","Y2011","Export Quantity",23439,"Oceania"
"678","Y2011","Export Value",36592,"Oceania"
"679","Y2011","Import Quantity",131494,"Oceania"
"680","Y2011","Import Value",155468,"Oceania"
"681","Y2012","Export Quantity",38303,"Oceania"
"682","Y2012","Export Value",38732,"Oceania"
"683","Y2012","Import Quantity",127994,"Oceania"
"684","Y2012","Import Value",141074,"Oceania"
"685","Y2013","Export Quantity",25410,"Oceania"
"686","Y2013","Export Value",27527,"Oceania"
"687","Y2013","Import Quantity",128991,"Oceania"
"688","Y2013","Import Value",112897,"Oceania"
"689","Y2014","Export Quantity",574898.56,"Oceania"
"690","Y2014","Export Value",468313,"Oceania"
"691","Y2014","Import Quantity",167563.95,"Oceania"
"692","Y2014","Import Value",150362,"Oceania"
"693","Y2015","Export Quantity",637437.05,"Oceania"
"694","Y2015","Export Value",403132,"Oceania"
"695","Y2015","Import Quantity",178111.76,"Oceania"
"696","Y2015","Import Value",133548,"Oceania"
"697","Y2016","Export Quantity",606639.44,"Oceania"
"698","Y2016","Export Value",364051,"Oceania"
"699","Y2016","Import Quantity",172213.47,"Oceania"
"700","Y2016","Import Value",129172,"Oceania"
"701","Y2017","Export Quantity",699333.7,"Oceania"
"702","Y2017","Export Value",489783,"Oceania"
"703","Y2017","Import Quantity",204544.45,"Oceania"
"704","Y2017","Import Value",156948,"Oceania"
"705","Y2018","Export Quantity",707642.04,"Oceania"
"706","Y2018","Export Value",455428,"Oceania"
"707","Y2018","Import Quantity",205417.15,"Oceania"
"708","Y2018","Import Value",160650,"Oceania"
"709","Y2019","Export Quantity",773773.25,"Oceania"
"710","Y2019","Export Value",396768,"Oceania"
"711","Y2019","Import Quantity",173972.02,"Oceania"
"712","Y2019","Import Value",119026,"Oceania"
"713","Y2020","Export Quantity",743079.71,"Oceania"
"714","Y2020","Export Value",460703,"Oceania"
"715","Y2020","Import Quantity",132678,"Oceania"
"716","Y2020","Import Value",116733,"Oceania"
"717","Y2021","Export Quantity",779576.02,"Oceania"
"718","Y2021","Export Value",747036,"Oceania"
"719","Y2021","Import Quantity",154175.63,"Oceania"
"720","Y2021","Import Value",190700,"Oceania"
