"","Area","Area.Code","Unit","mean_value"
"121","Niger",158,"g/cap/d",51.7421052631579
"122","Nigeria",159,"g/cap/d",60.7947368421053
"123","North Macedonia",154,"g/cap/d",102.078947368421
"124","Norway",162,"g/cap/d",144.589473684211
"125","Oman",221,"g/cap/d",78.1157894736842
"126","Pakistan",165,"g/cap/d",73.0315789473684
"127","Panama",166,"g/cap/d",73.9842105263158
"128","Papua New Guinea",168,"g/cap/d",60.0555555555556
"129","Paraguay",169,"g/cap/d",91.6263157894737
"130","Peru",170,"g/cap/d",50.2157894736842
"131","Philippines",171,"g/cap/d",51.6473684210526
"132","Poland",173,"g/cap/d",118.926315789474
"133","Portugal",174,"g/cap/d",137.110526315789
"134","Republic of Korea",117,"g/cap/d",98.8894736842105
"135","Republic of Moldova",146,"g/cap/d",68.0894736842105
"136","Romania",183,"g/cap/d",108.636842105263
"137","Russian Federation",185,"g/cap/d",98.2315789473684
"138","Rwanda",184,"g/cap/d",24.8473684210526
"139","Saint Kitts and Nevis",188,"g/cap/d",90.3842105263158
"140","Saint Lucia",189,"g/cap/d",79.5578947368421
"141","Saint Vincent and the Grenadines",191,"g/cap/d",79.4526315789474
"142","Samoa",244,"g/cap/d",132.152631578947
"143","Sao Tome and Principe",193,"g/cap/d",71.5157894736842
"144","Saudi Arabia",194,"g/cap/d",95.0263157894737
"145","Senegal",195,"g/cap/d",68.4684210526316
"146","Serbia",272,"g/cap/d",83.6428571428571
"147","Seychelles",196,"g/cap/d",87.8555555555556
"148","Sierra Leone",197,"g/cap/d",50.778947368421
"149","Slovakia",199,"g/cap/d",115.073684210526
"150","Slovenia",198,"g/cap/d",117.563157894737
"151","Solomon Islands",25,"g/cap/d",48.878947368421
"152","South Africa",202,"g/cap/d",84.7894736842105
"153","Spain",203,"g/cap/d",147.368421052632
"154","Sri Lanka",38,"g/cap/d",46.0315789473684
"155","Sudan",276,"g/cap/d",65.95
"156","Suriname",207,"g/cap/d",76.1473684210526
"157","Sweden",210,"g/cap/d",129.263157894737
"158","Switzerland",211,"g/cap/d",155.647368421053
"159","Syrian Arab Republic",212,"g/cap/d",103.666666666667
"160","Türkiye",223,"g/cap/d",113.005263157895
"161","Tajikistan",208,"g/cap/d",60.7421052631579
"162","Thailand",216,"g/cap/d",60.2105263157895
"163","Timor-Leste",176,"g/cap/d",46.5105263157895
"164","Togo",217,"g/cap/d",51.2526315789474
"165","Trinidad and Tobago",220,"g/cap/d",85.6052631578947
"166","Tunisia",222,"g/cap/d",92.5684210526316
"167","Turkmenistan",213,"g/cap/d",76.4105263157895
"168","Uganda",226,"g/cap/d",44.7315789473684
"169","Ukraine",230,"g/cap/d",86.821052631579
"170","United Arab Emirates",225,"g/cap/d",100.4
"171","United Kingdom of Great Britain and Northern Ireland",229,"g/cap/d",139.805263157895
"172","United Republic of Tanzania",215,"g/cap/d",46.5842105263158
"173","United States of America",231,"g/cap/d",163.994736842105
"174","Uruguay",234,"g/cap/d",101.473684210526
"175","Uzbekistan",235,"g/cap/d",76.5578947368421
"176","Vanuatu",155,"g/cap/d",101.178947368421
"177","Venezuela (Bolivarian Republic of)",236,"g/cap/d",83.7947368421053
"178","Viet Nam",237,"g/cap/d",64.6052631578947
"179","Yemen",249,"g/cap/d",43.8052631578947
"180","Zambia",251,"g/cap/d",42.9842105263158
"181","Zimbabwe",181,"g/cap/d",63.1157894736842
