Oil type,Monounsaturated fatty acids,Polyunsaturated fatty acids,Saturated fatty acids
Palm oil (refined),35.47,6.27,53.7
Palm oil (hydrogenated),5,0,89
Rapeseed oil,62.97,25.84,6.67
Olive oil,70.12,10.61,14.86
Sunflower oil,19.45,65.05,11.05
Coconut oil,5.8,1.8,86.5
